assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7840761840343475,0.7840761840343475,0.8214570462703705,0.0,1.639864444732666,1.736759066581726,0.05542709678411484,0,000000025139.jpg,2,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9159300525983175,0.888664960861206,0.9605717658996582,0.0,0.6181545257568359,0.5980158448219299,0.004735018592327833,0,000000025424.jpg,3,3
one2one,13,86,0,overlap,13,13,13,86,13,13,0.8112525802392226,0.8496806621551514,0.9496575593948364,0.0,1.2502737045288086,1.3328957557678223,0.004840778186917305,0,000000026204.jpg,13,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9469909965991974,0.9469909965991974,0.9633934557437897,0.0,0.3948614299297333,0.27939900755882263,0.0046779438853263855,0,000000027982.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7966775298118591,0.7966775298118591,0.8857543349266053,0.0,1.4127951860427856,0.5573456287384033,0.008990366943180561,0,000000030494.jpg,2,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9614443778991699,0.9614443778991699,0.9614443778991699,0.0,0.27817368507385254,0.1309264600276947,0.005353855900466442,0,000000030675.jpg,1,1
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8791193962097168,0.8838434815406799,0.9604431867599488,0.0,0.8687530159950256,2.6127750873565674,0.008003132417798042,0,000000031735.jpg,5,5
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8667883276939392,0.8667883276939392,0.9361630797386169,0.0,0.9416753053665161,0.5609049797058105,0.004206473473459482,0,000000033005.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9017320275306702,0.9017320275306702,0.9024226307868958,0.0,0.7406767010688782,1.475043773651123,0.013039857149124146,0,000000034071.jpg,2,2
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7231130450963974,0.7430569231510162,0.9265628099441529,0.0,1.685278296470642,0.6314829587936401,0.01700405403971672,0,000000034139.jpg,4,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8171466390291849,0.8582280278205872,0.9401864111423492,0.0,1.226254940032959,2.8636600971221924,0.010888802818953991,0,000000034257.jpg,6,6
