assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8667883276939392,0.8667883276939392,0.9361630797386169,0.0,0.9416753053665161,0.5609049797058105,0.004206473473459482,0,2,2,0,0.004325084786421243,188,2,000000033005.jpg,0,0,0.866788387298584,0.866788387298584,0.9361629962921143,2,2,190,0,0,0.8524699211120605,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9017320275306702,0.9017320275306702,0.9024226307868958,0.0,0.7406767010688782,1.475043773651123,0.013039857149124146,0,2,2,0,0.008327903105290952,108,2,000000034071.jpg,2,2,0.9017320275306702,0.9017320275306702,0.9024226307868958,0,0,110,0,0,0.10535262897610664,2
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7231130450963974,0.7430569231510162,0.9265628099441529,0.0,1.685278296470642,0.6314829587936401,0.01700405403971672,0,4,4,0,0.008018012334959525,132,4,000000034139.jpg,3,3,0.7349928766489029,0.7430569231510162,0.9265628933906556,1,1,136,0,0,0.6707762414589524,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8171466390291849,0.8582280278205872,0.9401864111423492,0.0,1.226254940032959,2.8636600971221924,0.010888802818953991,0,6,6,1,0.03166640009573203,295,6,000000034257.jpg,2,2,0.802649736404419,0.8057377338409424,0.9332825779914856,2,2,300,2,1,0.09585409834980965,5
one2one,22,142,5,overlap,22,22,22,137,22,22,0.6917024579915133,0.7323348522186279,0.9143454253673554,0.0,1.9909669160842896,2.059455633163452,0.011303089559078217,0,22,22,5,0.016613564429337375,283,22,000000036936.jpg,4,4,0.7132569586529451,0.7286977171897888,0.8984762191772461,1,1,300,17,12,0.32055092255091844,17
one2one,15,103,10,overlap,14,14,14,81,14,14,0.7297155388763973,0.7251638472080231,0.8790606081485749,0.0,1.9417532682418823,2.1297526359558105,0.009595425799489021,0,14,14,0,0.00970481291674731,285,15,000000039477.jpg,2,2,0.6457903504371643,0.6116089224815369,0.7983275532722474,4,4,300,9,9,0.1900475872370104,15
one2one,6,42,3,overlap,6,6,6,39,6,6,0.9415148397286733,0.9582981765270233,0.9670336842536926,0.0,0.42762839794158936,0.9893490672111511,0.0086174625903368,0,6,6,0,0.01017902823343106,68,6,000000039769.jpg,4,4,0.9445534646511078,0.9586742222309113,0.9670336842536926,2,2,74,0,0,0.524828783236444,6
one2one,11,51,0,overlap,11,11,11,51,11,11,0.7933203686367382,0.7992907166481018,0.9530903697013855,0.0,1.4537206888198853,0.8277839422225952,0.0038678243290632963,0,11,11,0,0.019280701678676102,156,11,000000039914.jpg,2,2,0.7660517475821755,0.7992907166481018,0.9530903697013855,1,1,167,8,8,0.5236348658800125,11
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8117643197377523,0.9046694040298462,0.9504675149917603,0.0,1.1558783054351807,1.796713948249817,0.009861215017735958,0,3,3,1,0.012557816538240084,44,3,000000040036.jpg,2,2,0.9332931339740753,0.9332931339740753,0.9561921179294586,1,0,46,0,0,0.8600068390369415,2
one2one,20,101,7,overlap,19,19,19,94,19,19,0.6983088458839216,0.7364470958709717,0.8584098219871521,0.0,2.068288803100586,2.276370048522949,0.0055231074802577496,0,19,19,7,0.010595794883151035,287,20,000000040471.jpg,2,2,0.7399440774550805,0.753364622592926,0.8712999820709229,2,2,300,16,9,0.19906773446844175,13
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9422677755355835,0.9422677755355835,0.9422677755355835,0.0,0.4081708490848541,0.13023072481155396,0.009236498735845089,0,1,1,0,0.0050860445480793715,2,1,000000046804.jpg,1,1,0.9422677755355835,0.9422677755355835,0.9422677755355835,0,0,3,0,0,0.9420757293701172,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8637477159500122,0.8893312513828278,0.980816513299942,0.0,0.9039698839187622,1.578811764717102,0.007946819067001343,0,6,6,0,0.016839519727000152,64,6,000000047740.jpg,3,3,0.8238938848177592,0.8406464457511902,0.9516338109970093,1,1,70,2,2,0.3503740137675777,6
one2one,7,35,0,overlap,7,7,7,35,7,7,0.6566632709332875,0.6854097247123718,0.9325586199760437,0.0,1.859365701675415,2.0395328998565674,0.006620442494750023,0,7,7,3,0.012138793510126157,126,7,000000047801.jpg,1,1,0.8354000300168991,0.8405326306819916,0.9538401603698731,2,1,130,4,2,0.4057505838572979,4
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9469054341316223,0.9469054341316223,0.9469054341316223,0.0,0.37831926345825195,0.3976314961910248,0.0030051153153181076,0,1,1,0,0.0065278915804810825,50,1,000000049259.jpg,0,0,0.9469056725502014,0.9469056725502014,0.9469056725502014,1,1,51,0,0,0.7455766201019287,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.891570657491684,0.891570657491684,0.950267904996872,0.0,0.7818208336830139,0.24739378690719604,0.020425716415047646,0,2,2,0,0.05048869538586587,4,2,000000049269.jpg,2,2,0.891570657491684,0.891570657491684,0.950267904996872,0,0,6,0,0,0.8969108760356903,2
