assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,5,35,0,overlap,5,5,5,35,5,5,0.8095372200012207,0.8181384801864624,0.8596507430076599,0.0,1.416664481163025,2.0421831607818604,0.011160452850162983,0,000000097679.jpg,5,5
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9170723756154379,0.9483310580253601,0.9541731715202332,0.0,0.6076396703720093,1.7149074077606201,0.008798840455710888,0,000000099024.jpg,3,3
one2one,13,90,4,overlap,13,13,13,86,13,13,0.7421597036031576,0.7700831890106201,0.9325266480445862,0.0,1.6564350128173828,2.733081817626953,0.014790315181016922,0,000000099039.jpg,13,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9686948657035828,0.9686948657035828,0.9726122736930847,0.0,0.2349977195262909,0.6183621287345886,0.003847415093332529,0,000000101068.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.956716001033783,0.956716001033783,0.9624434828758239,0.0,0.3247574269771576,0.3670715093612671,0.006424245424568653,0,000000101420.jpg,2,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.7882583856582641,0.7477251291275024,0.9392947435379028,0.0,1.4624274969100952,1.908195972442627,0.007994551211595535,0,000000102805.jpg,10,10
one2one,3,21,0,overlap,3,3,3,21,3,3,0.7657227516174316,0.7234432101249695,0.8990138888359069,0.0,1.599499225616455,2.6486873626708984,0.0197521410882473,0,000000104119.jpg,3,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9547069668769836,0.9547069668769836,0.9547069668769836,0.0,0.32522597908973694,0.13293969631195068,0.0067548807710409164,0,000000104198.jpg,1,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8679549694061279,0.8679549694061279,0.9190795421600342,0.0,0.9558256268501282,0.8774012327194214,0.011558578349649906,0,000000106281.jpg,2,2
one2one,18,126,5,overlap,18,18,18,121,18,18,0.769897331794103,0.8248985707759857,0.9060122251510621,0.0,1.573555827140808,1.520033359527588,0.013475644402205944,0,000000107226.jpg,18,18
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8238254388173422,0.813227117061615,0.8950631976127624,0.0,1.2962535619735718,2.0616512298583984,0.023952914401888847,0,000000111609.jpg,3,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.7681635245680809,0.8820612728595734,0.9471143960952759,0.0,1.1508010625839233,0.681589663028717,0.006408114917576313,0,000000111951.jpg,4,4
one2one,17,79,3,overlap,17,17,17,76,17,17,0.7019086725571576,0.7265204787254333,0.9239609718322754,0.0,1.9261466264724731,1.459087610244751,0.003508461406454444,0,000000115946.jpg,17,17
one2one,4,28,0,overlap,4,4,4,28,4,4,0.9180643409490585,0.9142067134380341,0.9362234532833099,0.0,0.6135907173156738,0.41767430305480957,0.008984903804957867,0,000000116068.jpg,4,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.9072362979253134,0.9416464269161224,0.9652925431728363,0.0,0.6597838401794434,0.5235366821289062,0.007704520598053932,0,000000119452.jpg,6,6
