assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,17,119,8,overlap,17,17,17,109,17,17,0.8592793555820689,0.8924165368080139,0.960470974445343,0.0,0.959985077381134,1.5957633256912231,0.013126772828400135,0,17,17,1,0.011273239150603997,284,17,000000064084.jpg,11,11,0.7999460622668266,0.8625033497810364,0.961164116859436,6,5,300,0,0,0.2871509734541178,16
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9447056651115417,0.9447056651115417,0.9447056651115417,0.0,0.3936085104942322,0.2344415783882141,0.005832429509609938,0,1,1,0,0.0030473493461613543,32,1,000000064495.jpg,1,1,0.9447055459022522,0.9447055459022522,0.9447055459022522,0,0,33,0,0,0.8971362709999084,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.7301466961701711,0.6974872350692749,0.8680131733417511,0.0,1.9257335662841797,2.557816743850708,0.028041884303092957,0,6,6,2,0.00999411473487865,196,6,000000064868.jpg,3,3,0.7782088816165924,0.7937784194946289,0.883823972940445,1,0,200,2,1,0.5453275407198817,4
one2one,17,91,0,overlap,17,17,17,91,17,17,0.6609469766125959,0.7207263708114624,0.9147876143455506,0.0,1.9313554763793945,1.929671049118042,0.0035305283963680267,0,17,17,6,0.013863868574743967,289,17,000000065798.jpg,0,0,0.767291936007413,0.7551375031471252,0.9226274490356445,3,3,300,14,8,0.3034030059352517,11
one2one,4,28,0,overlap,4,4,4,28,4,4,0.921148881316185,0.9347296953201294,0.9560252904891968,0.0,0.5806999206542969,0.7309268116950989,0.005322867073118687,0,4,4,0,0.012309075200464576,50,4,000000066635.jpg,2,2,0.9211489111185074,0.9347292482852936,0.9560248255729675,1,1,54,1,1,0.7084272662177682,4
one2one,11,77,0,overlap,11,11,11,77,11,11,0.8922776092182506,0.9335771203041077,0.9771844744682312,0.0,0.7441554069519043,1.0397231578826904,0.007200418971478939,0,11,11,0,0.01424092462223513,289,11,000000066771.jpg,4,4,0.8861981738697399,0.9335771799087524,0.9771848320960999,6,6,300,1,1,0.45446505304425955,11
one2one,1,7,0,overlap,1,1,1,7,1,1,0.942200243473053,0.942200243473053,0.942200243473053,0.0,0.4087294936180115,0.7489462494850159,0.01452728733420372,0,1,1,0,0.007928493506226101,114,1,000000066886.jpg,1,1,0.942200243473053,0.942200243473053,0.942200243473053,0,0,115,0,0,0.949714183807373,1
one2one,4,27,0,overlap,4,4,4,27,4,4,0.9472629576921463,0.9475739300251007,0.9769692122936249,0.0,0.389509916305542,0.2323710322380066,0.0012200640048831701,0,4,4,0,0.007552214232378043,89,4,000000067406.jpg,0,0,0.9472620636224747,0.9475738704204559,0.9769688606262207,2,2,93,2,2,0.8840539157390594,4
one2one,37,210,17,overlap,36,36,36,191,36,36,0.6399555106957754,0.7187573313713074,0.9170145690441132,0.0,1.8612191677093506,2.2427499294281006,0.005221797619014978,0,36,36,16,0.034856322660414656,279,37,000000067616.jpg,1,1,0.7106598502113706,0.6650803089141846,0.9633647799491882,9,7,300,27,13,0.2728462919947647,21
one2one,4,28,0,overlap,4,4,4,28,4,4,0.9203266352415085,0.9545087516307831,0.9645474791526795,0.0,0.5624758005142212,0.7460579872131348,0.004355546552687883,0,4,4,0,0.026778903605494026,24,4,000000068078.jpg,2,2,0.8051412105560303,0.8771740794181824,0.9570284605026245,2,2,28,0,0,0.6102854888886213,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9686084389686584,0.9686084389686584,0.9734854817390441,0.0,0.2354019284248352,0.23261897265911102,0.005818226374685764,0,2,2,0,0.015019160287920386,30,2,000000068765.jpg,2,2,0.9686084389686584,0.9686084389686584,0.9734854817390441,0,0,32,0,0,0.9572932422161102,2
one2one,4,28,2,overlap,4,4,4,26,4,4,0.8310948610305786,0.8205695450305939,0.9698133945465088,0.0,1.1318262815475464,0.8303741216659546,0.018375571817159653,0,4,4,0,0.004765903857332887,32,4,000000069106.jpg,3,3,0.8111841231584549,0.8195243775844574,0.9698132514953614,1,1,36,0,0,0.6904467181302607,4
