seed,cell,sample,model_forward_ms,adapter_total_ms,base_ms,factor_ms,adapter_residual_combine_ms,moe_total_ms,router_ms,shared_expert_ms,selected_expert_compute_ms,expert_dispatch_aggregate_ms,non_adapter_model_ms
260829,a,64,5.688320159912109,4.486079931259155,0.3328000009059906,4.116480067372322,0.03679986298084259,0,0,0,0,0.0,1.202240228652954
260829,a,65,5.67193603515625,4.482047945261002,0.3298880010843277,4.112384036183357,0.03977590799331665,0,0,0,0,0.0,1.1898880898952484
260829,a,66,5.6842241287231445,4.490496009588242,0.3317760080099106,4.121567934751511,0.037152066826820374,0,0,0,0,0.0,1.193728119134903
260829,a,67,5.685247898101807,4.4890240132808685,0.3312319964170456,4.119552060961723,0.03823995590209961,0,0,0,0,0.0,1.196223884820938
260829,a,68,5.67193603515625,4.480063945055008,0.3298560008406639,4.113183930516243,0.037024013698101044,0,0,0,0,0.0,1.191872090101242
260829,a,69,5.6985602378845215,4.5119360983371735,0.33696000277996063,4.137983992695808,0.03699210286140442,0,0,0,0,0.0,1.186624139547348
260829,a,70,5.6814398765563965,4.483999937772751,0.33049600571393967,4.115456074476242,0.03804785758256912,0,0,0,0,0.0,1.1974399387836456
260829,a,71,5.673791885375977,4.4821440279483795,0.3287680000066757,4.11648003757,0.0368959903717041,0,0,0,0,0.0,1.191647857427597
260829,a,72,5.6943039894104,4.501824080944061,0.35123199969530106,4.11443205177784,0.03616002947092056,0,0,0,0,0.0,1.1924799084663391
260829,a,73,5.72105598449707,4.51583993434906,0.3317440003156662,4.147135898470879,0.03696003556251526,0,0,0,0,0.0,1.2052160501480103
260829,a,74,5.66864013671875,4.480863988399506,0.3294080048799515,4.1142400950193405,0.03721588850021362,0,0,0,0,0.0,1.1877761483192444
260829,a,75,5.666624069213867,4.477919906377792,0.3307520002126694,4.112384036183357,0.03478386998176575,0,0,0,0,0.0,1.1887041628360748
260829,a,76,5.714943885803223,4.489887982606888,0.33484800159931183,4.117471873760223,0.0375681072473526,0,0,0,0,0.0,1.2250559031963348
260829,a,77,5.66374397277832,4.476863890886307,0.32998399436473846,4.108288019895554,0.03859187662601471,0,0,0,0,0.0,1.1868800818920135
