assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,20,100,7,overlap,19,19,19,93,19,19,0.6963711977005005,0.7153161764144897,0.8596312165260315,0.0,2.082127332687378,2.28385853767395,0.005584655329585075,0,19,19,7,0.010578037948649416,287,20,000000040471.jpg,2,2,0.7379129758247962,0.755526602268219,0.8696969389915467,2,2,300,16,9,0.19824429108904532,13
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9444243907928467,0.9444243907928467,0.9444243907928467,0.0,0.3938218653202057,0.21701663732528687,0.008905638940632343,0,1,1,0,0.04850784718291834,2,1,000000046804.jpg,1,1,0.9444243907928467,0.9444243907928467,0.9444243907928467,0,0,3,0,0,0.7955315113067627,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8641455670197805,0.8920614719390869,0.9790472090244293,0.0,0.9018049836158752,1.5389244556427002,0.007981562986969948,0,6,6,0,0.01589844926475867,67,6,000000047740.jpg,3,3,0.8248742322127024,0.842830091714859,0.9522736072540283,1,1,73,2,2,0.349641530153652,6
one2one,7,35,0,overlap,7,7,7,35,7,7,0.6530448304755347,0.6877651810646057,0.9334011316299439,0.0,1.8031589984893799,2.036839723587036,0.006400128826498985,0,7,7,3,0.012088536121328139,126,7,000000047801.jpg,1,1,0.8356383889913559,0.8392402231693268,0.9548528134822846,2,1,130,4,2,0.40667658345773816,4
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9467771649360657,0.9467771649360657,0.9467771649360657,0.0,0.3791506886482239,0.3882344365119934,0.003009304404258728,0,1,1,0,0.006371561510022729,50,1,000000049259.jpg,0,0,0.9467769861221313,0.9467769861221313,0.9467769861221313,1,1,51,0,0,0.7553892731666565,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8897285461425781,0.8897285461425781,0.9491551399230957,0.0,0.7948188781738281,0.24866539239883423,0.02075464092195034,0,2,2,0,0.09744488634169102,2,2,000000049269.jpg,2,2,0.8897285461425781,0.8897285461425781,0.9491551399230957,0,0,4,0,0,0.8971258699893951,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9359205563863119,0.9561312794685364,0.9747650742530822,0.0,0.46515703201293945,1.7691051959991455,0.007582288235425949,0,3,3,0,0.009882989074532432,76,3,000000050326.jpg,2,2,0.9359205563863119,0.9561312794685364,0.9747650742530822,1,1,79,0,0,0.3236917889056106,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.8408090472221375,0.8641412854194641,0.9260704994201661,0.0,1.1246979236602783,2.422405481338501,0.018413260579109192,0,4,4,0,0.009384627071638391,204,4,000000050331.jpg,3,3,0.7618312835693359,0.7683305740356445,0.9157572269439698,1,1,208,0,0,0.2704249667003751,4
one2one,16,67,0,overlap,16,16,16,67,16,16,0.6774124149233103,0.7071404457092285,0.8758468329906464,0.0,2.047528028488159,3.208021402359009,0.003108665347099304,0,16,16,9,0.036203780939402026,293,16,000000052412.jpg,1,1,0.7274050201688494,0.6960578560829163,0.8665316104888916,0,0,300,15,6,0.11808252494250025,7
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8245278398195902,0.8008103370666504,0.8889699459075928,0.0,1.293914556503296,1.8272955417633057,0.024705927819013596,0,3,3,0,0.005803355741613533,81,3,000000053529.jpg,2,2,0.732664426167806,0.7617635130882263,0.881160581111908,1,1,84,0,0,0.49071374038855237,3
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7385358065366745,0.7834361493587494,0.8346627116203308,0.0,1.8529140949249268,1.8676886558532715,0.015250230208039284,0,4,4,0,0.01977893501475808,105,4,000000053994.jpg,1,1,0.7035272270441055,0.713419109582901,0.8331276655197144,1,1,109,2,2,0.24093677545897663,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9523077011108398,0.9523077011108398,0.9531493663787842,0.0,0.35842570662498474,0.16283006966114044,0.005632068961858749,0,2,2,0,0.003357438675482713,21,2,000000054931.jpg,2,2,0.9523075520992279,0.9523075520992279,0.9531493365764618,0,0,23,0,0,0.8718748688697815,2
